,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Subtotal,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,522.83,26.1415,1042.7,01/05/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
1,226-31-3081,C,NAYPYITAW,Normal,Female,Electronic accessories,15.28,5,76.4,3.82,1039.29,03/08/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
2,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,324.31,16.2155,1034.46,03/03/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
3,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,465.76,23.288,1023.75,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
4,373-73-7910,A,Yangor,Normal,Male,Sports and travel,86.31,7,604.17,30.2085,1022.49,02/08/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
5,699-14-3026,C,NAYPYITAW,Normal,Male,Electronic accessories,85.39,7,597.73,29.8865,1022.385,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
6,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,413.04,20.652,1020.705,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
7,315-22-5665,C,NAYPYITAW,Normal,Female,Home and lifestyle,73.56,10,735.6,36.78,1003.59,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
8,665-32-9167,A,Yangan,Member,Female,Health and beauty,36.26,2,72.52,3.626,1002.12,01/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
9,692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,164.52,8.226,951.825,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
10,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,57.92,2.896,950.25,02/06/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5
11,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,102.04,5.102,944.622,03/09/2019,17:03,Cash,102.04,4.761904762,5.102,6.8
13,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,234.75,11.7375,943.299,02/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
14,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,431.9,21.595,942.9,02/07/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
15,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,713.8,35.69,942.4485,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
16,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,562.32,28.116,939.54,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
17,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,482.51,24.1255,937.818,03/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
18,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,435.66,21.783,936.6,01/01/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
19,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,164.01,8.2005,935.2665,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
20,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,80.6,4.03,932.337,03/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4
